EggID NestID Trt LayMass Mass2 Order1fac Order2fac HR1 HR2 scHR1 scHR2 T1 T2
31_3 31 per 1.2391 NA 1 1 208 NA 0.747364256641061 NA 0.416666666666667 NA
31_3 31 per 1.2391 NA 1 1 NA NA NA NA NA NA
31_3 31 per 1.2391 NA 1 1 NA 329 NA 1.07783659267531 NA 0.6
31_3 31 per 1.2391 NA 1 1 193 NA 0.0555906584443039 NA 0.666666666666667 NA
31_3 31 per 1.2391 NA 1 1 189 315 -0.128882301074831 0.609964078621371 0.75 0.766666666666667
31_3 31 per 1.2391 NA 1 1 185 NA -0.313355260593966 NA 0.833333333333333 NA
31_3 31 per 1.2391 NA 1 1 NA NA NA NA NA NA
31_3 31 per 1.2391 NA 1 1 NA NA NA NA NA NA
31_3 31 per 1.2391 NA 1 1 174 NA -0.820655899271588 NA 1.08333333333333 NA
13_16 13 low 1.1581 NA 1 3 NA NA NA NA NA NA
13_16 13 low 1.1581 NA 1 3 NA 337 NA 1.34519231499184 NA 0.45
13_16 13 low 1.1581 NA 1 3 189 NA -0.128882301074831 NA 0.5 NA
13_16 13 low 1.1581 NA 1 3 NA NA NA NA NA NA
13_16 13 low 1.1581 NA 1 3 NA NA NA NA NA NA
13_16 13 low 1.1581 NA 1 3 176 NA -0.728419419512021 NA 0.75 NA
13_16 13 low 1.1581 NA 1 3 NA 307 NA 0.342608356304837 NA 0.85
13_16 13 low 1.1581 NA 1 3 NA NA NA NA NA NA
13_16 13 low 1.1581 NA 1 3 NA 301 NA 0.142091564567436 NA 0.983333333333333
13_16 13 low 1.1581 NA 1 3 NA NA NA NA NA NA
29_13 29 per 0.9179 0.8243 4 4 NA NA NA NA NA NA
29_13 29 per 0.9179 0.8243 4 4 240 NA 2.22314793279414 NA 0.416666666666667 NA
29_13 29 per 0.9179 0.8243 4 4 230 NA 1.7619655339963 NA 0.5 NA
29_13 29 per 0.9179 0.8243 4 4 NA NA NA NA NA NA
29_13 29 per 0.9179 0.8243 4 4 218 NA 1.2085466554389 NA 0.666666666666667 NA
29_13 29 per 0.9179 0.8243 4 4 209 NA 0.793482496520845 NA 0.75 NA
29_13 29 per 0.9179 0.8243 4 4 206 229 0.655127776881493 -2.26410993628137 0.833333333333333 0.866666666666667
29_13 29 per 0.9179 0.8243 4 4 202 NA 0.470654817362358 NA 0.916666666666667 NA
29_13 29 per 0.9179 0.8243 4 4 197 223 0.240063617963439 -2.46462672801877 1 0.983333333333333
29_13 29 per 0.9179 0.8243 4 4 196 217 0.193945378083655 -2.66514351975617 1.08333333333333 1.08333333333333
31_5 31 cont 1.0924 0.9923 1 1 NA NA NA NA NA NA
31_5 31 cont 1.0924 0.9923 1 1 210 333 0.839600736400628 1.21151445383357 0.416666666666667 0.416666666666667
31_5 31 cont 1.0924 0.9923 1 1 207 NA 0.701246016761277 NA 0.5 NA
31_5 31 cont 1.0924 0.9923 1 1 203 NA 0.516773057242142 NA 0.583333333333333 NA
31_5 31 cont 1.0924 0.9923 1 1 200 NA 0.37841833760279 NA 0.666666666666667 NA
31_5 31 cont 1.0924 0.9923 1 1 196 NA 0.193945378083655 NA 0.75 NA
31_5 31 cont 1.0924 0.9923 1 1 193 NA 0.0555906584443039 NA 0.833333333333333 NA
31_5 31 cont 1.0924 0.9923 1 1 190 298 -0.0827640611950475 0.041833168698736 0.916666666666667 0.916666666666667
31_5 31 cont 1.0924 0.9923 1 1 187 NA -0.221118780834399 NA 1 NA
31_5 31 cont 1.0924 0.9923 1 1 184 NA -0.35947350047375 NA 1.08333333333333 NA
28_8 28 low 1.1859 1.0727 3 1 NA NA NA NA NA NA
28_8 28 low 1.1859 1.0727 3 1 212 335 0.931837216160196 1.27835338441271 0.416666666666667 0.416666666666667
28_8 28 low 1.1859 1.0727 3 1 NA 327 NA 1.01099766209617 NA 0.5
28_8 28 low 1.1859 1.0727 3 1 NA NA NA NA NA NA
28_8 28 low 1.1859 1.0727 3 1 NA 319 NA 0.743641939779638 NA 0.666666666666667
28_8 28 low 1.1859 1.0727 3 1 NA 307 NA 0.342608356304837 NA 0.75
28_8 28 low 1.1859 1.0727 3 1 NA 301 NA 0.142091564567436 NA 0.833333333333333
28_8 28 low 1.1859 1.0727 3 1 189 NA -0.128882301074831 NA 0.916666666666667 NA
28_8 28 low 1.1859 1.0727 3 1 188 NA -0.175000540954615 NA 1 NA
28_8 28 low 1.1859 1.0727 3 1 NA 285 NA -0.392619880065632 NA 1.08333333333333
28_10 28 per 0.9473 0.8751 1 1 NA NA NA NA NA NA
28_10 28 per 0.9473 0.8751 1 1 NA 326 NA 0.977578196806605 NA 0.416666666666667
28_10 28 per 0.9473 0.8751 1 1 NA 322 NA 0.843900335648338 NA 0.5
28_10 28 per 0.9473 0.8751 1 1 NA NA NA NA NA NA
28_10 28 per 0.9473 0.8751 1 1 NA NA NA NA NA NA
28_10 28 per 0.9473 0.8751 1 1 NA NA NA NA NA NA
28_10 28 per 0.9473 0.8751 1 1 NA 295 NA -0.0584252271699642 NA 0.833333333333333
28_10 28 per 0.9473 0.8751 1 1 NA 289 NA -0.258942018907365 NA 0.916666666666667
28_10 28 per 0.9473 0.8751 1 1 NA NA NA NA NA NA
28_10 28 per 0.9473 0.8751 1 1 NA NA NA NA NA NA
29_16 29 low 1.1424 1.0494 1 1 NA NA NA NA NA NA
29_16 29 low 1.1424 1.0494 1 1 NA NA NA NA NA NA
29_16 29 low 1.1424 1.0494 1 1 185 NA -0.313355260593966 NA 0.5 NA
29_16 29 low 1.1424 1.0494 1 1 180 NA -0.543946459992885 NA 0.583333333333333 NA
29_16 29 low 1.1424 1.0494 1 1 175 NA -0.774537659391804 NA 0.666666666666667 NA
29_16 29 low 1.1424 1.0494 1 1 171 NA -0.95901061891094 NA 0.75 NA
29_16 29 low 1.1424 1.0494 1 1 NA NA NA NA NA NA
29_16 29 low 1.1424 1.0494 1 1 164 NA -1.28183829806943 NA 0.916666666666667 NA
29_16 29 low 1.1424 1.0494 1 1 161 NA -1.42019301770878 NA 1 NA
29_16 29 low 1.1424 1.0494 1 1 NA NA NA NA NA NA
29_17 29 cont 1.1825 0.9855 1 1 NA NA NA NA NA NA
29_17 29 cont 1.1825 0.9855 1 1 218 292 1.2085466554389 -0.158683623038664 0.416666666666667 0.416666666666667
29_17 29 cont 1.1825 0.9855 1 1 212 285 0.931837216160196 -0.392619880065632 0.5 0.5
29_17 29 cont 1.1825 0.9855 1 1 207 NA 0.701246016761277 NA 0.583333333333333 NA
29_17 29 cont 1.1825 0.9855 1 1 202 275 0.470654817362358 -0.726814532961299 0.666666666666667 0.666666666666667
29_17 29 cont 1.1825 0.9855 1 1 198 NA 0.286181857843223 NA 0.75 NA
29_17 29 cont 1.1825 0.9855 1 1 194 NA 0.101708898324088 NA 0.833333333333333 NA
29_17 29 cont 1.1825 0.9855 1 1 191 238 -0.0366458213152637 -1.96333474867527 0.916666666666667 0.916666666666667
29_17 29 cont 1.1825 0.9855 1 1 189 NA -0.128882301074831 NA 1 NA
29_17 29 cont 1.1825 0.9855 1 1 187 NA -0.221118780834399 NA 1.08333333333333 NA
2_13 2 per 1.1104 0.8561 1 1 NA NA NA NA NA NA
2_13 2 per 1.1104 0.8561 1 1 224 344 1.4852560947176 1.57912857201881 0.416666666666667 0.416666666666667
2_13 2 per 1.1104 0.8561 1 1 NA NA NA NA NA NA
2_13 2 per 1.1104 0.8561 1 1 NA 327 NA 1.01099766209617 NA 0.583333333333333
2_13 2 per 1.1104 0.8561 1 1 NA 320 NA 0.777061405069204 NA 0.666666666666667
2_13 2 per 1.1104 0.8561 1 1 NA 310 NA 0.442866752173537 NA 0.75
2_13 2 per 1.1104 0.8561 1 1 NA NA NA NA NA NA
2_13 2 per 1.1104 0.8561 1 1 NA 300 NA 0.10867209927787 NA 0.916666666666667
2_13 2 per 1.1104 0.8561 1 1 NA NA NA NA NA NA
2_13 2 per 1.1104 0.8561 1 1 NA NA NA NA NA NA
4_14 4 per 1.2547 NA 3 1 NA NA NA NA NA NA
4_14 4 per 1.2547 NA 3 1 NA 298 NA 0.041833168698736 NA 0.433333333333333
4_14 4 per 1.2547 NA 3 1 NA NA NA NA NA NA
4_14 4 per 1.2547 NA 3 1 NA 283 NA -0.459458810644765 NA 0.6
4_14 4 per 1.2547 NA 3 1 NA NA NA NA NA NA
4_14 4 per 1.2547 NA 3 1 NA 275 NA -0.726814532961299 NA 0.766666666666667
4_14 4 per 1.2547 NA 3 1 NA NA NA NA NA NA
4_14 4 per 1.2547 NA 3 1 NA 269 NA -0.9273313246987 NA 0.916666666666667
4_14 4 per 1.2547 NA 3 1 NA NA NA NA NA NA
4_14 4 per 1.2547 NA 3 1 NA 257 NA -1.3283649081735 NA 1.1
4_15 4 low 1.1537 1.0511 2 1 NA NA NA NA NA NA
4_15 4 low 1.1537 1.0511 2 1 NA NA NA NA NA NA
4_15 4 low 1.1537 1.0511 2 1 216 NA 1.11631017567933 NA 0.5 NA
4_15 4 low 1.1537 1.0511 2 1 211 NA 0.885718976280412 NA 0.583333333333333 NA
4_15 4 low 1.1537 1.0511 2 1 206 NA 0.655127776881493 NA 0.666666666666667 NA
4_15 4 low 1.1537 1.0511 2 1 NA NA NA NA NA NA
4_15 4 low 1.1537 1.0511 2 1 203 NA 0.516773057242142 NA 0.833333333333333 NA
4_15 4 low 1.1537 1.0511 2 1 194 NA 0.101708898324088 NA 0.916666666666667 NA
4_15 4 low 1.1537 1.0511 2 1 191 NA -0.0366458213152637 NA 1 NA
4_15 4 low 1.1537 1.0511 2 1 NA NA NA NA NA NA
4_16 4 cont 1.2329 1.1465 5 1 NA NA NA NA NA NA
4_16 4 cont 1.2329 1.1465 5 1 NA NA NA NA NA NA
4_16 4 cont 1.2329 1.1465 5 1 192 329 0.00947241856452012 1.07783659267531 0.5 0.5
4_16 4 cont 1.2329 1.1465 5 1 191 NA -0.0366458213152637 NA 0.583333333333333 NA
4_16 4 cont 1.2329 1.1465 5 1 189 319 -0.128882301074831 0.743641939779638 0.666666666666667 0.666666666666667
4_16 4 cont 1.2329 1.1465 5 1 187 NA -0.221118780834399 NA 0.75 NA
4_16 4 cont 1.2329 1.1465 5 1 184 NA -0.35947350047375 NA 0.833333333333333 NA
4_16 4 cont 1.2329 1.1465 5 1 182 NA -0.451709980233318 NA 0.916666666666667 NA
4_16 4 cont 1.2329 1.1465 5 1 181 NA -0.497828220113102 NA 1 NA
4_16 4 cont 1.2329 1.1465 5 1 178 292 -0.636182939752453 -0.158683623038664 1.08333333333333 1.08333333333333
15_8 15 low 1.3057 1.1935 1 1 NA NA NA NA NA NA
15_8 15 low 1.3057 1.1935 1 1 NA 357 NA 2.01358162078317 NA 0.416666666666667
15_8 15 low 1.3057 1.1935 1 1 NA NA NA NA NA NA
15_8 15 low 1.3057 1.1935 1 1 NA NA NA NA NA NA
15_8 15 low 1.3057 1.1935 1 1 NA 337 NA 1.34519231499184 NA 0.666666666666667
15_8 15 low 1.3057 1.1935 1 1 NA NA NA NA NA NA
15_8 15 low 1.3057 1.1935 1 1 NA 322 NA 0.843900335648338 NA 0.833333333333333
15_8 15 low 1.3057 1.1935 1 1 NA 319 NA 0.743641939779638 NA 0.916666666666667
15_8 15 low 1.3057 1.1935 1 1 NA 312 NA 0.50970568275267 NA 1
15_8 15 low 1.3057 1.1935 1 1 NA NA NA NA NA NA
4_17 4 per 1.2224 1.117 1 1 223 NA 1.43913785483782 NA 0.333333333333333 NA
4_17 4 per 1.2224 1.117 1 1 213 NA 0.97795545603998 NA 0.416666666666667 NA
4_17 4 per 1.2224 1.117 1 1 205 NA 0.609009537001709 NA 0.5 NA
4_17 4 per 1.2224 1.117 1 1 198 340 0.286181857843223 1.44545071086054 0.583333333333333 0.583333333333333
4_17 4 per 1.2224 1.117 1 1 194 NA 0.101708898324088 NA 0.666666666666667 NA
4_17 4 per 1.2224 1.117 1 1 189 NA -0.128882301074831 NA 0.75 NA
4_17 4 per 1.2224 1.117 1 1 185 NA -0.313355260593966 NA 0.833333333333333 NA
